GENES,L19,L24,K18,L23,K23
ENSG00000063177,2.7708124941572883,2.7719071673595916,2.922275259461573,2.8470944229269297,3.0665558269941746
ENSG00000169564,3.1441211244298333,2.7430880578430834,2.7506584248691976,2.913748739800992,2.664916523426226
ENSG00000124172,2.594530136271819,2.4377231158084465,2.827840146677328,2.93501482564717,2.573651184717234
ENSG00000196531,2.7039806686546064,2.6512850067949514,2.7506584248691976,2.8238510755546025,2.874041235654764
ENSG00000009307,2.7039806686546064,2.5850391335367315,2.9876742731934423,2.93501482564717,2.541279613375632
ENSG00000237973,3.1441211244298333,2.9532737662582784,2.922275259461573,3.0539077717484235,2.9424143305874972
ENSG00000283429,2.8633654801957547,2.4766361088478366,2.827840146677328,2.6439956112558414,2.8501703356562453
ENSG00000125868,2.555212259898904,2.1658092401381523,2.607099088779856,2.351846621772724,2.4732122481056007
ENSG00000161016,3.2496218265358645,2.5850391335367315,2.6670176938547527,2.8470944229269297,2.5078249647487114
ENSG00000006327,3.0750281077322423,2.9766931628443603,2.5433601178299035,2.6154426365680328,2.774935590249597
ENSG00000235297,3.1441211244298333,2.7719071673595916,2.475280235878329,2.6439956112558414,2.400171104458856
ENSG00000140416,2.331436917435831,2.799918947993123,2.5433601178299035,2.8238510755546025,2.1422751328062524
ENSG00000196924,2.8334562614958463,2.799918947993123,2.323408389754157,2.7756780048944165,2.8501703356562453
ENSG00000172115,2.594530136271819,2.9532737662582784,2.6956823141251838,2.7756780048944165,2.3213715932852654
ENSG00000143761,3.026162828072709,2.216577440434282,2.6956823141251838,2.7756780048944165,2.6050076133284232
ENSG00000164924,2.7708124941572883,2.7134136987754056,2.922275259461573,2.8470944229269297,2.6354106359909837
ENSG00000131236,2.7379547891454257,2.3972343779226857,2.6956823141251838,2.52453981912366,2.8257156519504147
ENSG00000111669,2.6323604217819225,2.799918947993123,2.8761720379097335,2.725066318478856,2.8006479133077216
ENSG00000011304,2.8924060551179265,2.216577440434282,2.4394194481713662,2.5557679616712456,2.6354106359909837
ENSG00000164111,3.2293933721603025,2.6512850067949514,2.4394194481713662,2.3888536198814205,2.279513972092734
ENSG00000145741,3.345046689727698,2.6512850067949514,2.4394194481713662,2.6154426365680328,2.5078249647487114
ENSG00000118181,3.0008045709488727,2.5501943451663167,2.607099088779856,2.9558380663277513,2.6354106359909837
ENSG00000147403,2.6688115906970507,2.799918947993123,2.5433601178299035,2.7756780048944165,2.748544656607301
ENSG00000106803,3.0008045709488727,2.7719071673595916,2.5433601178299035,2.458996299356103,2.1901449017481576
ENSG00000142089,2.948073374270822,1.9959256340365652,2.323408389754157,2.1429739875864717,2.5078249647487114
ENSG00000150991,3.269449190577127,2.4377231158084465,2.0410234871355173,2.5557679616712456,2.4732122481056007
ENSG00000100097,2.1075030654526383,2.1658092401381523,2.4022246784579435,2.351846621772724,2.400171104458856
ENSG00000181524,2.2257252341420184,2.3972343779226857,2.6375071041031664,2.8000545927720357,2.8973555755653986
ENSG00000103187,2.555212259898904,2.1658092401381523,2.2815413039138037,2.458996299356103,2.437358404176848
ENSG00000204525,3.187665892579375,1.9322163167134605,1.7236961783460336,1.601485584243605,1.1277032533786588
ENSG00000111057,1.6351247798243675,2.7430880578430834,2.827840146677328,2.8238510755546025,2.8501703356562453
ENSG00000088832,1.9734067897125136,2.51409142634444,2.6375071041031664,2.095402592611169,2.437358404176848
ENSG00000131143,2.8026248278392147,2.7430880578430834,2.575737349415911,2.52453981912366,2.400171104458856
ENSG00000089280,2.8026248278392147,2.2648922817713477,2.575737349415911,2.1429739875864717,2.6354106359909837
ENSG00000140264,2.948073374270822,2.5850391335367315,2.323408389754157,2.725066318478856,2.5078249647487114
ENSG00000182774,2.948073374270822,2.618710534352989,2.237844480489275,2.6439956112558414,2.4732122481056007
ENSG00000113739,3.1661305081352205,2.7430880578430834,2.1921506495547103,2.23182262274412,2.235827458702224
ENSG00000102172,2.1075030654526383,2.355036873054606,2.475280235878329,2.6439956112558414,2.541279613375632
ENSG00000173113,2.9206270209924448,2.310979989596351,2.475280235878329,2.4923049572694453,2.1422751328062524
ENSG00000117724,2.6323604217819225,2.799918947993123,2.1921506495547103,2.6154426365680328,2.3213715932852654
ENSG00000123689,2.0427009719032965,2.827167402349966,2.6670176938547527,2.351846621772724,3.00641023196012
ENSG00000139644,2.8026248278392147,2.5501943451663167,2.5433601178299035,2.458996299356103,2.748544656607301
ENSG00000170889,2.8026248278392147,2.5501943451663167,2.575737349415911,2.8920205628863487,2.573651184717234
ENSG00000245910,2.1075030654526383,2.310979989596351,2.723548118524086,2.4923049572694453,2.573651184717234
ENSG00000062716,3.0008045709488727,2.4377231158084465,2.723548118524086,2.1429739875864717,2.0919981327465735
ENSG00000158417,2.279977295855909,2.7719071673595916,2.6956823141251838,2.52453981912366,2.400171104458856
ENSG00000088247,2.6688115906970507,2.8536930307952515,2.607099088779856,2.4245398330208157,2.5078249647487114
ENSG00000088986,2.7379547891454257,2.355036873054606,2.723548118524086,2.4923049572694453,2.6050076133284232
ENSG00000113810,2.594530136271819,2.2648922817713477,2.363592834125316,2.586050366440419,2.541279613375632
ENSG00000130826,1.73101115192823,2.7719071673595916,2.8994893135385644,2.52453981912366,2.0390589173447244
ENSG00000198258,2.427034324518692,2.1658092401381523,2.323408389754157,2.6154426365680328,2.0390589173447244
