GENES,L19,L24,L18,K20
ENSG00000149273,3.3630856730227805,2.9532737662582784,3.1442504167167367,3.1859428896479582
ENSG00000119705,2.4716109427872204,2.3972343779226857,2.687798325571064,3.023670115342142
ENSG00000106366,2.0427009719032965,2.216577440434282,2.146892449919592,2.0178602110045967
ENSG00000106153,2.4716109427872204,3.184904102326432,3.164405522177318,3.005894966309945
ENSG00000005022,3.187665892579375,3.184904102326432,2.719429616963512,2.8298656460994382
ENSG00000229344,2.8026248278392147,3.2035260595482007,3.102678993324027,3.0582997342885965
ENSG00000142864,2.168360193484125,2.879533193533096,3.102678993324027,3.155526827143221
ENSG00000132475,3.187665892579375,3.086207846769472,2.864119637118169,3.1241565277812886
ENSG00000115310,3.307962142842455,3.086207846769472,2.621366007236285,2.7404401955421145
ENSG00000136238,3.2293933721603025,2.827167402349966,2.621366007236285,2.987798134777312
ENSG00000130726,2.279977295855909,2.799918947993123,2.9904963309355543,2.9505913237560435
ENSG00000108953,2.3803775442782653,3.239760857488392,3.059304144774305,2.763557374384052
ENSG00000136938,2.9206270209924448,2.310979989596351,2.8368081454565237,2.931455572862228
ENSG00000155506,3.380805008998033,2.879533193533096,2.8907049989571707,3.1708504960454515
ENSG00000218227,2.8924060551179265,3.0652434215651727,3.0368901746160386,2.786152201823179
ENSG00000262902,3.2293933721603025,3.184904102326432,3.102678993324027,3.0751749807634305
ENSG00000111716,2.9206270209924448,2.999576618766616,3.0368901746160386,2.8298656460994382
ENSG00000108821,3.4967578391195566,1.035622954517368,2.0901135251698286,2.1940631569040283
ENSG00000132341,2.9206270209924448,2.9292927217959916,2.8368081454565237,2.8510260681355715
ENSG00000188846,2.6323604217819225,3.221807569613337,2.719429616963512,3.005894966309945
ENSG00000225630,2.331436917435831,3.0652434215651727,2.9904963309355543,3.1859428896479582
ENSG00000026508,3.527559356278388,2.310979989596351,2.7798401083113946,2.5892466434409602
ENSG00000163466,2.974786504736343,2.879533193533096,3.013962277241641,2.763557374384052
ENSG00000114391,2.427034324518692,3.086207846769472,3.0368901746160386,2.9119464893927844
ENSG00000197061,2.8026248278392147,2.9047224270710736,2.8907049989571707,3.2298996992888203
ENSG00000131747,3.0508939151555654,2.8536930307952515,2.621366007236285,3.0751749807634305
ENSG00000166598,2.974786504736343,2.9532737662582784,2.719429616963512,2.9119464893927844
ENSG00000153187,3.398215828874764,2.9292927217959916,2.719429616963512,2.5333033333053905
ENSG00000174444,2.948073374270822,2.879533193533096,2.687798325571064,2.892049215794925
ENSG00000166441,2.7379547891454257,2.799918947993123,2.6551337216067528,2.808247763097304
ENSG00000161011,3.398215828874764,2.51409142634444,1.7446484179660615,2.1940631569040283
ENSG00000242071,3.0985935406573017,2.879533193533096,2.6551337216067528,2.892049215794925
ENSG00000187109,2.948073374270822,2.5501943451663167,2.7798401083113946,2.763557374384052
ENSG00000008394,3.4809938416330906,2.999576618766616,2.6551337216067528,2.987798134777312
ENSG00000135506,0.9356174748518672,2.8536930307952515,2.9418449375315827,2.9693677626345623
ENSG00000138668,3.2496218265358645,2.999576618766616,3.3125037449766257,2.5892466434409602
ENSG00000102317,3.0750281077322423,2.799918947993123,3.0812267228019974,2.4430431257945706
ENSG00000165119,3.0008045709488727,2.4766361088478366,2.621366007236285,2.7404401955421145
ENSG00000243859,2.1075030654526383,2.7719071673595916,2.9664664748185525,3.215461058507272
ENSG00000117450,3.345046689727698,2.682831771999989,2.621366007236285,2.7404401955421145
ENSG00000219928,2.8633654801957547,3.1659287770029594,2.8368081454565237,2.931455572862228
ENSG00000150687,2.7708124941572883,2.7430880578430834,2.7798401083113946,2.5333033333053905
ENSG00000104904,3.1661305081352205,2.1123251335497333,2.7500909717211823,2.642225413715216
ENSG00000119335,3.2293933721603025,2.618710534352989,2.687798325571064,2.892049215794925
ENSG00000100345,2.974786504736343,2.799918947993123,2.8087297416968893,2.786152201823179
ENSG00000170421,2.7379547891454257,2.799918947993123,2.8907049989571707,2.642225413715216
ENSG00000075415,2.555212259898904,2.7719071673595916,2.9904963309355543,2.8298656460994382
ENSG00000110958,3.2087472644005017,2.51409142634444,2.6551337216067528,2.6676981382593183
ENSG00000213585,3.121616405280421,2.9292927217959916,3.164405522177318,2.808247763097304
ENSG00000110321,3.026162828072709,2.7430880578430834,2.390611197387861,2.642225413715216
ENSG00000181163,3.121616405280421,2.799918947993123,2.9418449375315827,3.0411348186393807
ENSG00000117523,2.8924060551179265,2.879533193533096,3.013962277241641,2.7404401955421145
ENSG00000169100,3.464977354978879,2.999576618766616,3.123680712372237,2.8510260681355715
ENSG00000008018,3.4967578391195566,2.9532737662582784,2.621366007236285,2.1098376085379833
ENSG00000270906,2.427034324518692,2.5850391335367315,3.102678993324027,2.5892466434409602
ENSG00000167642,2.8633654801957547,2.799918947993123,2.916601844291516,2.6676981382593183
ENSG00000130402,3.269449190577127,2.999576618766616,2.7798401083113946,2.892049215794925
ENSG00000221983,2.6323604217819225,2.310979989596351,2.4329600851712296,2.4430431257945706
ENSG00000176340,3.0985935406573017,2.8536930307952515,2.8087297416968893,2.6160868313177863
ENSG00000108424,2.7379547891454257,2.8536930307952515,3.3628356692952823,3.0582997342885965
ENSG00000206503,3.288891061188993,2.1123251335497333,1.8974199068375748,1.9684913574756928
ENSG00000099783,2.8334562614958463,2.6512850067949514,2.7500909717211823,2.786152201823179
ENSG00000122565,2.948073374270822,2.8536930307952515,2.029915656511282,2.892049215794925
ENSG00000156508,3.0985935406573017,2.999576618766616,2.864119637118169,2.7404401955421145
ENSG00000044574,2.8924060551179265,2.618710534352989,2.8368081454565237,2.642225413715216
ENSG00000147889,1.529059577974396,3.0652434215651727,2.7798401083113946,2.5616661441131936
ENSG00000198668,3.1441211244298333,2.6512850067949514,3.0368901746160386,2.642225413715216
ENSG00000234851,2.8633654801957547,2.7134136987754056,2.512629859981917,2.5333033333053905
ENSG00000126777,2.8026248278392147,2.1123251335497333,2.621366007236285,2.4430431257945706
ENSG00000171863,1.73101115192823,2.879533193533096,2.6551337216067528,2.6925380882358243
ENSG00000144713,2.594530136271819,2.51409142634444,2.4329600851712296,2.1528368636152817
ENSG00000170515,2.6688115906970507,2.5501943451663167,2.621366007236285,2.642225413715216
ENSG00000063177,2.7708124941572883,2.7719071673595916,2.9418449375315827,2.6925380882358243
ENSG00000169564,3.1441211244298333,2.7430880578430834,2.512629859981917,2.786152201823179
ENSG00000124172,2.594530136271819,2.4377231158084465,2.864119637118169,2.9505913237560435
ENSG00000196531,2.7039806686546064,2.6512850067949514,2.864119637118169,2.6676981382593183
ENSG00000009307,2.7039806686546064,2.5850391335367315,2.7500909717211823,3.0411348186393807
ENSG00000237973,3.1441211244298333,2.9532737662582784,2.7500909717211823,2.8510260681355715
ENSG00000283429,2.8633654801957547,2.4766361088478366,2.4329600851712296,2.808247763097304
ENSG00000125868,2.555212259898904,2.1658092401381523,2.7798401083113946,2.5333033333053905
ENSG00000161016,3.2496218265358645,2.5850391335367315,2.6551337216067528,2.5333033333053905
ENSG00000006327,3.0750281077322423,2.9766931628443603,3.0368901746160386,2.8510260681355715
ENSG00000235297,3.1441211244298333,2.7719071673595916,2.8087297416968893,2.6160868313177863
ENSG00000140416,2.331436917435831,2.799918947993123,2.512629859981917,2.786152201823179
ENSG00000196924,2.8334562614958463,2.799918947993123,2.719429616963512,2.6676981382593183
ENSG00000172115,2.594530136271819,2.9532737662582784,2.8087297416968893,2.5616661441131936
ENSG00000143761,3.026162828072709,2.216577440434282,2.550204395372618,2.5333033333053905
ENSG00000164924,2.7708124941572883,2.7134136987754056,2.621366007236285,2.6160868313177863
ENSG00000131236,2.7379547891454257,2.3972343779226857,2.550204395372618,2.716775940955567
ENSG00000111669,2.6323604217819225,2.799918947993123,2.6551337216067528,2.763557374384052
ENSG00000011304,2.8924060551179265,2.216577440434282,2.687798325571064,2.2336569238955413
ENSG00000164111,3.2293933721603025,2.6512850067949514,2.2006200062055243,2.474043940624811
ENSG00000145741,3.345046689727698,2.6512850067949514,2.550204395372618,2.5892466434409602
ENSG00000118181,3.0008045709488727,2.5501943451663167,2.390611197387861,2.343820365390428
ENSG00000147403,2.6688115906970507,2.799918947993123,2.621366007236285,2.6925380882358243
ENSG00000106803,3.0008045709488727,2.7719071673595916,2.8087297416968893,2.4430431257945706
ENSG00000142089,2.948073374270822,1.9959256340365652,2.146892449919592,2.1098376085379833
ENSG00000150991,3.269449190577127,2.4377231158084465,2.251607503432565,2.504112532204275
ENSG00000100097,2.1075030654526383,2.1658092401381523,2.512629859981917,2.4430431257945706
ENSG00000181524,2.2257252341420184,2.3972343779226857,2.3463892677860945,2.892049215794925
ENSG00000103187,2.555212259898904,2.1658092401381523,2.2006200062055243,2.1528368636152817
ENSG00000204525,3.187665892579375,1.9322163167134605,1.6585137185970964,1.6767490556097042
ENSG00000111057,1.6351247798243675,2.7430880578430834,2.916601844291516,2.8298656460994382
ENSG00000088832,1.9734067897125136,2.51409142634444,2.7500909717211823,2.474043940624811
ENSG00000131143,2.8026248278392147,2.7430880578430834,3.059304144774305,2.474043940624811
ENSG00000089280,2.8026248278392147,2.2648922817713477,2.512629859981917,2.6676981382593183
ENSG00000140264,2.948073374270822,2.5850391335367315,2.390611197387861,2.3780002761768846
ENSG00000182774,2.948073374270822,2.618710534352989,2.7500909717211823,2.5333033333053905
ENSG00000113739,3.1661305081352205,2.7430880578430834,2.621366007236285,2.716775940955567
ENSG00000102172,2.1075030654526383,2.355036873054606,2.550204395372618,2.763557374384052
ENSG00000173113,2.9206270209924448,2.310979989596351,2.7500909717211823,2.5616661441131936
ENSG00000117724,2.6323604217819225,2.799918947993123,2.687798325571064,2.474043940624811
ENSG00000123689,2.0427009719032965,2.827167402349966,3.059304144774305,2.6925380882358243
ENSG00000139644,2.8026248278392147,2.5501943451663167,2.473588171959938,2.474043940624811
ENSG00000170889,2.8026248278392147,2.5501943451663167,2.550204395372618,2.9119464893927844
ENSG00000245910,2.1075030654526383,2.310979989596351,2.621366007236285,2.716775940955567
ENSG00000062716,3.0008045709488727,2.4377231158084465,2.719429616963512,2.504112532204275
ENSG00000158417,2.279977295855909,2.7719071673595916,2.687798325571064,2.6160868313177863
ENSG00000088247,2.6688115906970507,2.8536930307952515,2.512629859981917,2.3084307176663823
ENSG00000088986,2.7379547891454257,2.355036873054606,2.30012091338035,2.3780002761768846
ENSG00000113810,2.594530136271819,2.2648922817713477,2.5864180646632224,2.808247763097304
ENSG00000130826,1.73101115192823,2.7719071673595916,2.2006200062055243,2.5333033333053905
ENSG00000198258,2.427034324518692,2.1658092401381523,2.2006200062055243,2.5892466434409602
ENSG00000106028,2.514284994569395,2.827167402349966,2.8087297416968893,2.7404401955421145
ENSG00000057019,2.9206270209924448,2.3972343779226857,2.719429616963512,2.763557374384052
ENSG00000175606,2.168360193484125,2.5850391335367315,3.0368901746160386,2.5333033333053905
ENSG00000242299,2.594530136271819,2.7134136987754056,2.512629859981917,2.5892466434409602
ENSG00000147065,2.974786504736343,2.7134136987754056,2.5864180646632224,2.5616661441131936
ENSG00000142669,3.1661305081352205,2.5850391335367315,2.30012091338035,2.7404401955421145
ENSG00000075618,2.6323604217819225,2.4377231158084465,2.2006200062055243,1.6065930841805272
ENSG00000125356,2.514284994569395,2.6512850067949514,2.7500909717211823,2.411050429330403
ENSG00000171345,3.0008045709488727,2.9532737662582784,2.719429616963512,2.786152201823179
ENSG00000137309,3.2087472644005017,2.799918947993123,2.473588171959938,2.5892466434409602
ENSG00000167283,3.2087472644005017,2.4766361088478366,2.30012091338035,2.343820365390428
ENSG00000188229,2.8334562614958463,2.1123251335497333,2.8368081454565237,2.3780002761768846
ENSG00000131711,3.0008045709488727,2.51409142634444,2.512629859981917,2.3780002761768846
ENSG00000150093,2.168360193484125,2.51409142634444,2.512629859981917,2.9119464893927844
ENSG00000119707,2.331436917435831,2.216577440434282,2.6551337216067528,2.411050429330403
ENSG00000112081,2.948073374270822,2.4766361088478366,2.550204395372618,2.6925380882358243
ENSG00000142534,3.0750281077322423,2.51409142634444,2.512629859981917,2.3780002761768846
ENSG00000150753,2.8334562614958463,2.355036873054606,2.3463892677860945,2.6160868313177863
ENSG00000232573,2.6688115906970507,2.618710534352989,2.6551337216067528,2.642225413715216
ENSG00000091527,1.9734067897125136,2.618710534352989,2.687798325571064,2.8717479895466185
ENSG00000119888,0.9356174748518672,2.4766361088478366,2.621366007236285,2.5616661441131936
ENSG00000160789,3.121616405280421,2.310979989596351,2.621366007236285,2.3084307176663823
ENSG00000135046,2.8633654801957547,2.3972343779226857,2.390611197387861,2.2336569238955413
ENSG00000127022,3.026162828072709,2.355036873054606,2.7500909717211823,2.6676981382593183
ENSG00000105323,3.0985935406573017,2.1123251335497333,2.390611197387861,2.6160868313177863
ENSG00000149806,3.0008045709488727,2.4766361088478366,2.512629859981917,2.4430431257945706
ENSG00000125835,2.7708124941572883,2.5850391335367315,2.4329600851712296,2.642225413715216
ENSG00000165502,2.8633654801957547,2.6512850067949514,2.687798325571064,2.1098376085379833
ENSG00000213315,2.6688115906970507,2.2648922817713477,2.2006200062055243,2.4430431257945706
ENSG00000106263,1.9734067897125136,2.3972343779226857,2.687798325571064,2.1940631569040283
ENSG00000105971,1.9734067897125136,2.4766361088478366,2.8368081454565237,2.504112532204275
ENSG00000149925,2.279977295855909,2.4377231158084465,2.5864180646632224,2.6160868313177863
