GENES,L19,L24,L20,L22,K21,K22,K24
ENSG00000125148,3.9333428995080872,3.607750582650112,3.626871101544793,3.5689212481708386,3.6166736377163415,3.578665625956247,3.5731955836007114
ENSG00000142937,3.512277184693684,3.7347931152342655,3.8084462903469087,3.9567376679533472,3.829867292690295,3.796210952472321,3.901616632530684
ENSG00000070756,3.5720526596160496,3.8855268051415663,3.799178787103697,3.815309695422698,3.7830750435871363,3.757888064016368,3.815693361351391
ENSG00000067225,4.166669225826753,3.4763309213186653,3.4454444516364324,3.480053199123677,3.605293688152708,3.262498007312263,3.4256067510664825
ENSG00000156482,3.9533561754194766,3.6558358442447765,3.5816169168263445,3.5191103409909585,3.470739575416009,3.5405608067493257,3.7017771786290896
ENSG00000069275,3.464977354978879,3.6558358442447765,3.680702687835791,3.367765337977477,3.95838636402288,3.587969204300995,3.639551612319329
ENSG00000133112,4.190397570830732,3.6440295546861483,3.4971324048035686,3.6835675646580497,3.713654226859144,3.718037804130152,3.769794589297803
ENSG00000140988,3.9533561754194766,3.6675043702254166,3.626871101544793,3.7864116015812126,3.7033315332399783,3.587969204300995,3.639551612319329
ENSG00000135446,2.514284994569395,3.6675043702254166,3.929907612381537,3.7049999492224512,3.713654226859144,3.6420431028092564,3.8334788009739262
ENSG00000197756,3.768926133027751,3.462186734037936,3.404846058759429,3.6835675646580497,3.6717082781353665,3.569274677551161,3.6916714380060265
ENSG00000074800,3.9333428995080872,3.7772616207930954,3.7217742405946153,3.672676619144132,3.6166736377163415,3.7341689683707857,3.7314957230696137
ENSG00000106211,2.7379547891454257,3.221807569613337,3.659516509515584,3.3970413049301937,3.444203951372165,3.4276044899919182,3.2985944284406763
ENSG00000071082,3.600651774767873,3.7128627965135688,3.8446805958797015,3.736311112861443,3.6717082781353665,3.8616954111486392,3.6069238873315634
ENSG00000148303,3.7325306898437387,3.6440295546861483,3.701449308452108,3.411364031916241,3.7033315332399783,3.701642153121025,3.412265126037932
ENSG00000146731,2.6323604217819225,3.607750582650112,3.835744361256116,3.650532298013388,3.8389686235035687,3.757888064016368,3.639551612319329
ENSG00000083845,3.0750281077322423,3.462186734037936,3.4320939562345,3.3065094851779486,3.5703555554051314,3.559794702529292,3.514323551532728
ENSG00000255823,3.121616405280421,3.9399859311879255,3.741694285515429,3.694341174229841,3.6166736377163415,3.5308033276128885,3.769794589297803
ENSG00000164587,4.029629349057124,3.6675043702254166,3.5220078552470824,3.627886479651686,3.627925539835047,3.62434137945965,3.5731955836007114
ENSG00000019582,4.221184151503359,2.5501943451663167,2.433289375878376,2.3899099578838325,2.61246711898006,2.431922339312085,2.5506189826556342
ENSG00000163191,4.117453556734076,3.4478396149867243,3.5699759787566645,3.4666876434327447,3.692901169202456,3.5209497011514865,3.6069238873315634
ENSG00000181019,4.182550515961656,3.0219481156848835,2.396116868957499,2.6339990281248493,2.8332926045557967,2.6898430588731803,3.2365152171057066
ENSG00000125691,3.7807694207877938,3.607750582650112,3.6487526875025953,3.7666715796475767,3.7539113161462514,3.818518982442797,3.750828495373311
ENSG00000182899,3.668763664726192,3.607750582650112,3.534217318471437,3.672676619144132,3.5584328820179283,3.5209497011514865,3.5500609960346736
ENSG00000096384,3.7325306898437387,3.2573975012656273,3.376834866646905,3.5809957292991967,3.470739575416009,3.5502239967698856,3.3427487874017037
ENSG00000142676,3.668763664726192,3.787602803479377,3.5096474765354904,3.5566991902195224,3.444203951372165,3.650777827906877,3.5263784986436923
ENSG00000122406,2.8633654801957547,3.5828121318796367,3.4716223466140077,3.453141026952977,3.5584328820179283,3.4596975077498913,3.639551612319329
ENSG00000198744,3.8814839603862112,3.787602803479377,3.659516509515584,3.715546311855732,3.682360864947262,3.709873580420728,3.650195162552817
ENSG00000167553,3.7807694207877938,3.4763309213186653,3.6157480978522187,3.4932424702867317,3.593782743185965,3.7421380079562,3.5263784986436923
ENSG00000247627,3.380805008998033,3.607750582650112,3.6378717438052086,3.694341174229841,3.605293688152708,3.818518982442797,3.7216873475981416
ENSG00000109475,3.655507376113759,3.308514561277786,3.45861905695262,3.4254845117166277,3.5821377518676782,3.62434137945965,3.3135302219983656
ENSG00000196230,3.7448102748683896,3.4902778375611687,3.3480163800658485,3.480053199123677,3.48374792277282,3.4596975077498913,3.3427487874017037
ENSG00000196262,3.8490265746440495,3.1659287770029594,3.081571126308872,3.0963898977413664,3.1309875878267808,3.168451737751099,3.2985944284406763
ENSG00000234745,4.1004949438119604,2.1658092401381523,2.433289375878376,2.5365836212265225,2.7289630037803705,2.8177138049582915,2.4849236252669216
ENSG00000142871,2.514284994569395,3.433283656227895,3.604499979998787,3.736311112861443,3.627925539835047,3.6332314094992566,3.617918506327328
ENSG00000249072,3.0008045709488727,3.6558358442447765,3.680702687835791,3.5929261549983016,3.7033315332399783,3.5308033276128885,3.5845652209969177
ENSG00000108298,3.44870015917134,3.6558358442447765,3.5931239013070453,3.6616657536961785,3.546366341484248,3.6420431028092564,3.5500609960346736
ENSG00000087460,3.8040433339841764,3.3571452485311646,3.2877614561614688,3.1346206340380967,3.0140657935600914,3.416673782807598,3.2365152171057066
ENSG00000154978,1.898951038510906,3.3882996397519225,3.390938537857325,3.453141026952977,3.5341524193540335,3.168451737751099,3.3282462164747084
ENSG00000213741,3.398215828874764,3.462186734037936,3.3183426814576227,3.411364031916241,3.3600911122777797,3.4491138640423684,3.3570440368775083
ENSG00000034510,3.512277184693684,3.0652434215651727,2.660768027301299,3.0963898977413664,3.034526949165788,2.94877572514346,3.0620230526422567
ENSG00000136810,3.972976766184871,3.086207846769472,3.1190253915364217,3.0566392733395205,3.3304042429605056,3.1252710513649498,3.2680364739989205
ENSG00000167658,3.4153286923697355,3.274728477011557,3.3625294329102884,3.2242537440569103,3.218956670513696,3.236517897954084,3.283432170251075
ENSG00000072110,3.4321536261610626,3.3728437637468573,3.2400612238024893,3.2069583490583877,3.1671090267303263,3.236517897954084,3.3427487874017037
ENSG00000170315,3.187665892579375,3.106741774537804,3.223641760830621,3.3970413049301937,3.509267714110259,3.4056222735960686,3.5382898532862206
ENSG00000244052,3.0985935406573017,3.3571452485311646,3.390938537857325,3.6047159221081855,3.546366341484248,3.416673782807598,3.5845652209969177
ENSG00000008988,3.557440420723875,2.827167402349966,3.0021717607936926,3.1893585508769613,3.3600911122777797,3.1542643456841084,3.0031299804235325
ENSG00000143947,3.398215828874764,3.4902778375611687,3.4320939562345,3.2412550869100096,3.3746104657651768,3.360152818312967,3.2680364739989205
ENSG00000214182,3.026162828072709,3.274728477011557,3.2400612238024893,2.97205856806871,3.1124255010547857,3.080141315524916,3.2039679414615314
ENSG00000112306,3.2293933721603025,3.1268625299428385,3.3480163800658485,3.35279954667594,3.3746104657651768,3.416673782807598,3.4387727181281096
ENSG00000145592,3.5426114941006817,3.308514561277786,3.4454444516364324,3.35279954667594,3.3304042429605056,3.2878202070839304,3.1530702556929637
ENSG00000244398,3.0008045709488727,3.3571452485311646,3.0623044523171936,3.2579722094989503,3.3304042429605056,3.3484549041044085,3.2039679414615314
ENSG00000174748,3.0508939151555654,3.3411963541300724,3.2877614561614688,3.274414458696368,3.4575597782297782,3.2098447780044137,3.4897687327216778
ENSG00000198363,3.668763664726192,3.106741774537804,3.2721128355353284,3.2905907277516495,3.3746104657651768,3.416673782807598,3.3427487874017037
ENSG00000136942,3.0750281077322423,3.403520263078295,3.3332895927724304,3.076712086555426,3.218956670513696,3.2752392567819144,3.4256067510664825
ENSG00000204628,3.6947604235978653,3.4763309213186653,3.5816169168263445,3.3065094851779486,3.444203951372165,3.4056222735960686,3.3711378089823483
ENSG00000256618,3.4809938416330906,3.7128627965135688,3.5816169168263445,3.7666715796475767,3.639052244060714,3.676533353105429,3.7314957230696137
ENSG00000224631,3.3630856730227805,3.433283656227895,3.2721128355353284,3.5191103409909585,3.3304042429605056,3.4384170075488494,3.3282462164747084
ENSG00000143933,3.5864544523813366,3.2917641997948768,3.534217318471437,3.274414458696368,3.430667329006142,3.1104529579456317,3.187288239616572
ENSG00000225972,3.0008045709488727,3.3882996397519225,3.4716223466140077,3.411364031916241,3.4169449490898107,3.4056222735960686,3.3427487874017037
ENSG00000134419,3.655507376113759,3.0438300607657625,3.1551273327130294,3.1893585508769613,3.1846919591214706,3.095411981797024,3.22037398908338
ENSG00000130255,3.0985935406573017,2.9766931628443603,3.0623044523171936,2.9035703887086153,2.950043661447419,2.7343083631181453,2.8266733657082166
ENSG00000185650,3.628455670414186,3.106741774537804,3.081571126308872,3.171443442112161,3.3304042429605056,3.4384170075488494,3.2985944284406763
ENSG00000125968,3.792474085237288,2.7134136987754056,2.7172727315341447,2.5018823743265663,2.8332926045557967,2.516512410881995,2.4849236252669216
ENSG00000228236,3.792474085237288,3.0219481156848835,3.0226204057163093,2.7506803259476897,3.1846919591214706,2.9661716128236284,2.98270213876476
ENSG00000187514,3.2496218265358645,2.9047224270710736,3.303168965672093,3.2069583490583877,3.0935123362048764,3.196236589378069,3.0994424160762195
ENSG00000244313,3.307962142842455,3.184904102326432,3.2562154373994665,3.3825104529081917,3.034526949165788,3.312516997210248,3.3135302219983656
ENSG00000177600,3.3630856730227805,3.3882996397519225,3.042659269045408,3.453141026952977,3.3152236396926016,3.095411981797024,3.22037398908338
ENSG00000172809,3.1441211244298333,3.0652434215651727,3.137239272047576,2.99388382226452,3.034526949165788,3.1824406602081683,3.3570440368775083
ENSG00000233762,3.2496218265358645,2.9292927217959916,2.9159201640394112,3.0566392733395205,2.971842984835453,2.983270050627511,3.023148865530787
ENSG00000166913,3.187665892579375,3.1268625299428385,3.3332895927724304,3.411364031916241,3.2356585759234666,3.3366185273787474,3.2680364739989205
ENSG00000132507,2.7039806686546064,3.221807569613337,3.3332895927724304,3.2242537440569103,3.1309875878267808,3.4384170075488494,3.2680364739989205
ENSG00000122566,3.4153286923697355,3.106741774537804,3.1551273327130294,3.35279954667594,3.1309875878267808,3.1542643456841084,3.2039679414615314
ENSG00000198034,3.1441211244298333,3.274728477011557,3.223641760830621,3.2579722094989503,3.2682481242393333,3.1824406602081683,3.2680364739989205
ENSG00000102144,2.6323604217819225,3.2917641997948768,3.2400612238024893,3.0566392733395205,3.2356585759234666,3.048882079501153,3.3711378089823483
ENSG00000144381,3.0750281077322423,3.239760857488392,3.3183426814576227,3.274414458696368,3.2356585759234666,3.3366185273787474,3.170325599318
ENSG00000105193,3.6947604235978653,3.184904102326432,3.376834866646905,3.115687953414274,3.1671090267303263,3.2752392567819144,3.187288239616572
ENSG00000115053,2.594530136271819,2.799918947993123,2.770754692284968,2.99388382226452,2.7010864788227886,2.931071855023065,2.7515526496981417
ENSG00000197747,3.7569408990133732,3.0219481156848835,3.137239272047576,2.99388382226452,2.950043661447419,3.2098447780044137,3.117639790180549
ENSG00000115268,3.2496218265358645,3.086207846769472,3.0226204057163093,2.9035703887086153,3.0140657935600914,2.94877572514346,2.8022548112557626
ENSG00000143321,3.398215828874764,3.1268625299428385,2.9812962242512437,3.1346206340380967,2.7824877707530127,3.0000810398917466,2.670327109757248
ENSG00000127184,3.380805008998033,3.1268625299428385,2.845969245305376,2.8551585765484395,2.950043661447419,2.9130489003700903,2.9618482827134334
ENSG00000117525,2.2257252341420184,3.106741774537804,3.081571126308872,3.3970413049301937,3.3152236396926016,3.312516997210248,3.2985944284406763
ENSG00000169567,3.6947604235978653,2.7719071673595916,2.770754692284968,2.6940405281771143,3.0545778266212573,3.1252710513649498,3.023148865530787
ENSG00000237550,2.331436917435831,3.274728477011557,3.042659269045408,2.8551585765484395,3.034526949165788,3.236517897954084,2.873791339151464
ENSG00000108107,2.427034324518692,2.5501943451663167,2.9381904682658257,2.7227613818077376,2.5152239405161234,2.7343083631181453,2.9405502644153034
ENSG00000110700,3.345046689727698,2.799918947993123,2.845969245305376,2.97205856806871,3.1671090267303263,3.0000810398917466,3.023148865530787
ENSG00000185641,3.5864544523813366,3.0652434215651727,3.172701025854223,3.115687953414274,3.0935123362048764,2.856945059405881,2.9405502644153034
ENSG00000108602,3.8814839603862112,1.6268722564839089,2.0880901491160686,2.307627738230357,1.6507489232936088,2.237679941796608,2.213567965020089
ENSG00000167526,3.0985935406573017,3.086207846769472,3.1551273327130294,3.2412550869100096,2.950043661447419,3.0646338350200284,3.3987430923946818
ENSG00000189159,3.0750281077322423,2.9047224270710736,2.796459942877294,2.83004443729166,3.2356585759234666,3.080141315524916,2.9618482827134334
ENSG00000087086,3.7075096815406914,2.9292927217959916,2.8931425745214736,2.602569961957605,2.61246711898006,2.594501732522419,2.9618482827134334
ENSG00000158710,2.974786504736343,2.9292927217959916,3.223641760830621,3.076712086555426,2.7824877707530127,3.1104529579456317,2.8022548112557626
ENSG00000089157,3.1661305081352205,3.0438300607657625,3.1190253915364217,3.153201518399693,3.0140657935600914,3.2752392567819144,3.2985944284406763
ENSG00000161970,2.3803775442782653,2.999576618766616,3.390938537857325,3.076712086555426,3.252086104039188,3.168451737751099,3.2365152171057066
ENSG00000197958,3.121616405280421,3.0219481156848835,3.1190253915364217,3.0152428912409377,2.950043661447419,3.1398727712338217,3.0620230526422567
ENSG00000109971,2.974786504736343,3.146586412800304,3.0623044523171936,3.2579722094989503,3.1671090267303263,3.0328782299611916,3.187288239616572
ENSG00000198431,3.628455670414186,2.51409142634444,2.7443712093217782,2.307627738230357,2.5487000938625117,2.6668462973521585,2.5506189826556342
ENSG00000154582,2.331436917435831,3.0219481156848835,2.8931425745214736,3.4254845117166277,2.857758776434302,3.1398727712338217,3.2039679414615314
ENSG00000131469,2.7379547891454257,2.9766931628443603,3.1551273327130294,3.153201518399693,2.9049654038910013,3.3366185273787474,3.2680364739989205
ENSG00000164032,3.121616405280421,3.086207846769472,3.0623044523171936,3.0152428912409377,3.2998090287685744,2.894695147747345,2.98270213876476
ENSG00000105372,3.4321536261610626,3.1659287770029594,2.95997559155357,3.274414458696368,2.971842984835453,3.0646338350200284,3.4772614562586512
ENSG00000173812,3.3630856730227805,3.146586412800304,3.172701025854223,2.97205856806871,2.857758776434302,2.931071855023065,2.9405502644153034
ENSG00000186468,3.4967578391195566,3.1659287770029594,3.042659269045408,3.0963898977413664,2.9049654038910013,3.080141315524916,2.9405502644153034
ENSG00000149273,3.3630856730227805,2.9532737662582784,2.9812962242512437,3.2069583490583877,3.1671090267303263,3.1252710513649498,3.170325599318
ENSG00000119705,2.4716109427872204,2.3972343779226857,3.1004736014220438,2.6339990281248493,2.857758776434302,2.9661716128236284,2.8022548112557626
ENSG00000106366,2.0427009719032965,2.216577440434282,2.3173505810482693,1.5849010865274713,2.3286365883076603,2.2012941668972243,2.2988911735497117
ENSG00000106153,2.4716109427872204,3.184904102326432,2.95997559155357,3.2412550869100096,3.1309875878267808,3.1252710513649498,3.2985944284406763
ENSG00000005022,3.187665892579375,3.184904102326432,3.1004736014220438,3.171443442112161,3.0742345564503992,2.797505504255811,3.0031299804235325
ENSG00000229344,2.8026248278392147,3.2035260595482007,3.0226204057163093,3.171443442112161,3.1309875878267808,3.2098447780044137,3.0809077502437887
ENSG00000142864,2.168360193484125,2.879533193533096,3.2069481921652514,3.0566392733395205,3.034526949165788,3.262498007312263,2.9618482827134334
ENSG00000132475,3.187665892579375,3.086207846769472,3.137239272047576,3.3065094851779486,3.0545778266212573,2.8177138049582915,3.252400039115397
ENSG00000115310,3.307962142842455,3.086207846769472,2.8931425745214736,2.6940405281771143,2.9277585173287863,3.016614085860233,2.8266733657082166
ENSG00000136238,3.2293933721603025,2.827167402349966,2.433289375878376,2.804283294218852,2.881640622511081,2.8759982266466433,2.5183106919722986
ENSG00000130726,2.279977295855909,2.799918947993123,3.081571126308872,3.0361552745533733,2.881640622511081,2.8375218062615337,2.8505098396901722
ENSG00000108953,2.3803775442782653,3.239760857488392,2.95997559155357,3.171443442112161,2.581091799515256,2.9130489003700903,3.117639790180549
ENSG00000136938,2.9206270209924448,2.310979989596351,2.845969245305376,2.7227613818077376,2.8082127943534347,2.7768803905771398,2.8022548112557626
ENSG00000155506,3.380805008998033,2.879533193533096,2.689419424036084,2.3899099578838325,2.881640622511081,3.168451737751099,2.98270213876476
ENSG00000218227,2.8924060551179265,3.0652434215651727,3.0623044523171936,2.804283294218852,2.9931772183434124,3.1542643456841084,3.1530702556929637
ENSG00000262902,3.2293933721603025,3.184904102326432,2.9812962242512437,2.87965741696848,2.8332926045557967,3.016614085860233,3.2039679414615314
ENSG00000111716,2.9206270209924448,2.999576618766616,3.081571126308872,3.0963898977413664,3.4030316424562885,3.1542643456841084,2.8022548112557626
ENSG00000108821,3.4967578391195566,1.035622954517368,2.0880901491160686,2.119459868950941,2.099060029191104,2.08344767110224,2.120279832665388
ENSG00000132341,2.9206270209924448,2.9292927217959916,3.042659269045408,3.0361552745533733,2.9931772183434124,2.983270050627511,3.023148865530787
ENSG00000188846,2.6323604217819225,3.221807569613337,3.0021717607936926,2.777840926868859,2.8332926045557967,2.856945059405881,2.698141833108658
ENSG00000225630,2.331436917435831,3.0652434215651727,3.0021717607936926,3.076712086555426,2.8332926045557967,2.9661716128236284,2.7515526496981417
ENSG00000026508,3.527559356278388,2.310979989596351,2.46912946878017,2.2638000906198137,2.581091799515256,2.594501732522419,2.7252037884422164
ENSG00000163466,2.974786504736343,2.879533193533096,2.8698340494989254,2.83004443729166,2.857758776434302,2.94877572514346,2.873791339151464
ENSG00000114391,2.427034324518692,3.086207846769472,3.081571126308872,2.9269248596533837,2.7560834571115813,3.0646338350200284,2.918788751107351
ENSG00000197061,2.8026248278392147,2.9047224270710736,2.8215209591818984,2.9497463237060035,3.0742345564503992,3.1398727712338217,3.170325599318
ENSG00000131747,3.0508939151555654,2.8536930307952515,3.0021717607936926,2.83004443729166,3.0140657935600914,2.6898430588731803,2.6417165385060017
ENSG00000166598,2.974786504736343,2.9532737662582784,2.9159201640394112,2.7227613818077376,2.971842984835453,2.8177138049582915,2.4503832457804466
ENSG00000153187,3.398215828874764,2.9292927217959916,2.95997559155357,2.7506803259476897,2.7824877707530127,2.61920270159852,2.5183106919722986
ENSG00000174444,2.948073374270822,2.879533193533096,2.845969245305376,3.076712086555426,2.8332926045557967,2.8177138049582915,3.0994424160762195
ENSG00000166441,2.7379547891454257,2.799918947993123,2.9159201640394112,2.8551585765484395,2.881640622511081,2.8375218062615337,2.7515526496981417
ENSG00000161011,3.398215828874764,2.51409142634444,2.3173505810482693,2.119459868950941,2.0460669372715405,2.3712725232030567,2.2571392996209028
ENSG00000242071,3.0985935406573017,2.879533193533096,3.1551273327130294,3.0152428912409377,3.0742345564503992,3.0000810398917466,3.0031299804235325
ENSG00000187109,2.948073374270822,2.5501943451663167,2.8215209591818984,2.99388382226452,2.6724105143736083,2.9661716128236284,2.5506189826556342
ENSG00000008394,3.4809938416330906,2.999576618766616,2.600878318353956,2.6940405281771143,2.7010864788227886,2.7123228360482607,2.5819160339040934
ENSG00000135506,0.9356174748518672,2.8536930307952515,3.1004736014220438,2.97205856806871,2.7824877707530127,2.94877572514346,3.252400039115397
ENSG00000138668,3.2496218265358645,2.999576618766616,2.9812962242512437,2.6339990281248493,2.61246711898006,2.983270050627511,2.896543119665121
ENSG00000102317,3.0750281077322423,2.799918947993123,2.2755117012436177,2.5018823743265663,2.9049654038910013,2.6668462973521585,2.777225034711668
ENSG00000165119,3.0008045709488727,2.4766361088478366,2.56953240758942,2.6644703331963657,2.61246711898006,2.61920270159852,3.023148865530787
ENSG00000243859,2.1075030654526383,2.7719071673595916,3.1190253915364217,3.0566392733395205,3.1309875878267808,2.856945059405881,3.117639790180549
ENSG00000117450,3.345046689727698,2.682831771999989,2.8698340494989254,2.6339990281248493,2.8082127943534347,2.6668462973521585,3.0620230526422567
ENSG00000219928,2.8633654801957547,3.1659287770029594,2.5037293698610474,2.777840926868859,2.5487000938625117,2.7343083631181453,2.7515526496981417
ENSG00000150687,2.7708124941572883,2.7430880578430834,2.631271452993313,2.9497463237060035,3.0545778266212573,2.4609213933648286,2.612263232158015
ENSG00000104904,3.1661305081352205,2.1123251335497333,2.770754692284968,2.97205856806871,2.7824877707530127,2.516512410881995,2.98270213876476
ENSG00000119335,3.2293933721603025,2.618710534352989,2.46912946878017,2.7506803259476897,2.7824877707530127,2.8375218062615337,3.0427748474962257
ENSG00000100345,2.974786504736343,2.799918947993123,2.9812962242512437,2.97205856806871,2.7010864788227886,2.5431904054803636,2.918788751107351
ENSG00000170421,2.7379547891454257,2.799918947993123,2.46912946878017,2.9269248596533837,2.9049654038910013,2.8759982266466433,2.873791339151464
ENSG00000075415,2.555212259898904,2.7719071673595916,2.9159201640394112,2.5701209675211403,2.581091799515256,2.594501732522419,2.5506189826556342
ENSG00000110958,3.2087472644005017,2.51409142634444,2.7172727315341447,2.87965741696848,2.7560834571115813,2.7768803905771398,2.7515526496981417
ENSG00000213585,3.121616405280421,2.9292927217959916,2.8698340494989254,2.777840926868859,2.7010864788227886,2.856945059405881,2.7515526496981417
ENSG00000110321,3.026162828072709,2.7430880578430834,2.46912946878017,2.428644016905265,2.407495785414708,2.797505504255811,2.3389694701390287
ENSG00000181163,3.121616405280421,2.799918947993123,2.8698340494989254,2.8551585765484395,2.9277585173287863,3.016614085860233,3.117639790180549
ENSG00000117523,2.8924060551179265,2.879533193533096,2.689419424036084,2.6339990281248493,2.7010864788227886,3.048882079501153,2.896543119665121
ENSG00000169100,3.464977354978879,2.999576618766616,2.2755117012436177,2.7506803259476897,2.857758776434302,2.931071855023065,2.41460701443002
ENSG00000008018,3.4967578391195566,2.9532737662582784,2.56953240758942,2.7506803259476897,2.286745295574031,2.8177138049582915,2.6417165385060017
ENSG00000270906,2.427034324518692,2.5850391335367315,3.081571126308872,3.171443442112161,3.149211393206245,3.1398727712338217,2.98270213876476
ENSG00000167642,2.8633654801957547,2.799918947993123,2.56953240758942,3.0152428912409377,3.1124255010547857,2.894695147747345,2.612263232158015
ENSG00000130402,3.269449190577127,2.999576618766616,2.95997559155357,3.076712086555426,3.218956670513696,2.8177138049582915,2.8266733657082166
