"","PseudoTime1","PseudoTime2","PseudoTime3"
"L19",0,0,0
"K18",11.1681733335619,NA,NA
"K20",NA,12.2093943093544,NA
"K21",NA,NA,13.6392158090223
"K22",NA,NA,13.8887488711831
"K23",11.7663020840529,NA,NA
"K24",NA,NA,13.9924632632253
"L18",NA,11.8713821820519,NA
"L20",NA,NA,13.1307216424108
"L22",NA,NA,13.2307916032217
"L23",11.3033491615076,NA,NA
"L24",9.87806277658156,9.87806277656775,9.87806258766261
