,L19,K18,K20,K21,K22,K23,K24,L18,L20,L22,L23,L24
ENSG00000210082,6.187859087917456,6.898412854248523,6.973981740823182,6.842767406438146,6.815816474963183,7.019260037953001,6.85460738557199,6.798137837271196,6.8612392911655915,6.825611639438197,6.952113192982306,6.941518230937042
ENSG00000198886,5.414060808589091,5.846357702685583,5.7403310420720794,5.78585057182998,5.8776205899358445,5.748964540877716,5.87453296440551,5.80414715999732,5.732469356618629,5.8920866410179835,5.900873413091156,5.715405555655569
ENSG00000198938,5.590642104089761,5.491265989363089,5.447496446368571,5.484880798141544,5.543204912759204,5.453888447796937,5.517917470647483,5.43649637557462,5.533415129883813,5.490375128708378,5.521896466561496,5.513803769608343
ENSG00000198727,5.116316873334139,5.441732403477428,5.515369207302629,5.586149124612941,5.545822762244448,5.501026311460712,5.4607065768972625,5.694364335607407,5.501687888830575,5.520159032117849,5.458152003484645,5.417797927001862
ENSG00000198888,5.1347258586423825,5.430791147850638,5.288851370157862,5.517536772341987,5.545822762244448,5.4322032285046244,5.50970663044389,5.506021638403011,5.6481977279575,5.540661345709088,5.459838273434409,5.366101659160463
ENSG00000132432,3.7689261330277506,5.196301887762606,5.172612564253093,5.284355606691104,5.219488064203527,5.196371602492295,5.05129789518478,5.211353828523356,5.110043167177324,5.189758428260236,5.1152628679505225,4.995260928953865
ENSG00000198712,5.278865065077294,5.270014281466627,5.147650778587417,5.2340029514517346,5.244534710038246,5.2393749651788095,5.347125961224032,5.314104277823967,5.265482194004618,5.261578405157403,5.315057650947913,5.229899236427081
ENSG00000198899,5.0622388139779,5.246042174143869,5.2226971609982975,5.142362663053306,5.215858205900375,5.149013595919615,5.178467238706481,5.234277941399703,5.237151977571963,5.16051089796297,5.273304158017822,5.1723404235563395
ENSG00000198840,4.65667073819414,5.156096760662177,4.903089733459768,5.0736114112163735,5.026232145682532,4.962996513613784,5.099658972474492,5.0373031516647115,4.919861930356187,5.061811599641424,5.076472476558549,4.954464764231235
ENSG00000198786,4.258380581623385,5.184643716782384,5.024524429580286,4.75684469210851,4.731924530659477,4.924288995505617,4.756159572352277,5.130906715030774,5.026313304576332,5.005667581721032,5.0590167624711375,5.1085231917175244
ENSG00000198763,4.793911463914502,5.216950098702715,5.084622028584092,5.005441886693577,5.056538394007211,5.044297886563476,4.94693786682118,5.1665643529338645,5.161411169238195,5.153063373927089,5.0739973809320205,5.195259591603398
ENSG00000269028,3.6687636647261916,5.225991984618996,5.319470060922496,4.75684469210851,4.558405946012807,4.957138163086118,4.555064122791443,4.888817842677295,4.82770540992089,4.879664901842261,5.0179353166496155,5.0806818738035515
ENSG00000075624,5.078449934886559,4.7067125703056325,4.525162927114941,4.781857179634499,4.797571202880756,4.704474807694701,4.846535784059777,4.779940114455728,4.86366819676152,4.81890113367485,4.735068750251322,4.700586068450937
ENSG00000212907,3.7807694207877938,4.841005524929887,4.4131333515167634,4.488719637618225,3.9557330199552734,4.432297581245125,4.115737638381973,4.630483163784515,4.4179112723098015,4.358568592941517,4.58122234549107,4.979766428670194
ENSG00000184009,4.699855962886731,4.699119190752026,4.582373720078136,4.712454569884691,4.772394083056865,4.64606836808219,4.766614286689265,4.64873876656273,4.715070760469267,4.8564712538384125,4.5313211292846916,4.704706360260852
ENSG00000228253,4.497552780261359,5.067853589353959,4.884080841424263,4.836783076692118,4.861766713681991,4.905905786959423,4.817308607117135,4.822645665733435,4.844212626666739,4.808404931891728,4.910103585011849,4.92521356204226
ENSG00000211459,4.66156223040881,5.073111382588026,4.978204032003819,4.999782158442577,4.924524717682337,4.933355405141082,4.89342603960978,4.881677936101252,5.034467635367049,4.927624945026669,4.924595542135833,4.9383198408363995
ENSG00000198804,4.933336767004209,4.732844321844851,4.80717677862809,4.719991116182905,4.632767958259292,4.700685402870673,4.675957603033491,4.625866710608565,4.6962664770816005,4.7430032320673545,4.632611974351986,4.75286945228657
ENSG00000205542,4.718466604383196,4.324405992474921,4.291919667604037,4.296293782207184,4.3739671706321355,4.1600441676034805,4.234661379690817,4.185361832495143,4.1020957335464345,4.1303386473629375,4.182881178083586,4.175069058891595
ENSG00000108518,4.083243767739898,4.261488063361241,4.148254246320621,4.318973731148632,4.330854500312218,4.322177740516132,4.2405453244234685,4.2275868701255135,4.289670719821888,4.2540168156711475,4.442185218965862,4.382444425294202
ENSG00000251562,4.388311695103012,4.35174674231592,4.36363161468271,4.404875030579679,4.262486487017374,4.253340864584019,4.257992242639349,4.374706816375427,4.40783078058746,4.2540168156711475,4.275152322538987,4.287248653343102
ENSG00000248527,4.53700851995349,4.459053379271705,4.48102510086264,4.378814896743082,4.398969900225396,4.46646491154202,4.407640474921039,4.460171992329756,4.4027521707353054,4.443131809074195,4.522756683401208,4.3710288804643405
ENSG00000080824,4.15863298755554,4.219284807967125,4.1708847919107805,4.141545360358362,4.137000189213711,4.020341547822979,4.081940248413483,4.126136537309772,4.1621519218895955,4.1303386473629375,3.9975646560341986,3.999985964403714
ENSG00000026025,4.322034637308292,3.6222857370178,3.655423237838442,3.682360864947262,3.750044043699027,3.5974610232836137,3.7216873475981416,3.728711587632986,3.701449308452108,3.3970413049301937,3.5341923267940847,3.734793115234265
ENSG00000111640,4.349074821446693,4.129127088123321,4.1425156723967,4.134828281578567,4.147639362734866,4.21088297328788,4.135481031632987,4.350626224396112,4.108949549184743,4.295984294310813,4.12056542767376,4.242570332359296
ENSG00000120708,4.62680841382092,3.7580679580307823,3.8808874407846456,3.8919027935992014,3.896304222231692,3.9010524383543927,4.025369878737252,3.9424670302192997,3.8796477568367527,3.815309695422698,3.898265436232024,3.9221604014452898
ENSG00000166710,4.695148676272135,3.3974307724801713,3.424663160458411,3.284153082673444,3.597187023331345,3.3811424251234374,3.7216873475981416,3.514372247572792,3.303168965672093,3.306509485177949,3.5225676681363454,3.3571452485311646
ENSG00000197956,4.514653352586679,3.7383412347418923,3.93189667825886,3.9256969852279675,3.854627559611963,3.840107858942809,3.8422542895893397,3.75115496201133,3.8623170063655725,3.815309695422698,3.898265436232024,3.9131270469127877
ENSG00000123416,4.3356461230379715,3.6976805171099585,3.9529856379314507,3.829867292690295,3.8894776187640647,3.8128071297843604,3.885012471212639,4.02172205765281,3.913433413005377,3.824759748408254,3.873878940204196,3.6675043702254166
ENSG00000065978,3.756940899013374,4.007451924043761,4.176463301946567,4.224994019858917,4.087671418112897,4.179412857068189,4.088791725496353,4.199635870515622,4.122517845738501,4.123385497989352,4.139671246858772,4.175069058891595
ENSG00000231500,4.029629349057125,3.9765348369355005,3.9804297690084605,3.9663944276520873,3.9996309852696896,4.049887103576716,4.018068151207807,3.995995379412623,3.913433413005377,3.997124257202218,4.06095499963517,3.9747111601699716
ENSG00000137154,3.628455670414186,3.9364938082335907,4.013708539777884,4.134828281578567,3.9621233774693394,4.012816718119726,4.081940248413483,4.038512680874905,4.067103811162597,3.9316988662331034,4.094509565110026,3.797838139749821
