"","PseudoTime1","PseudoTime2"
"E18",2.46650147684791,2.47472656898876
"E19",2.65507559758016,2.6818039146785
"E20",9.67283791229801,NA
"E22",NA,3.57402053892199
"E23",2.83518337957758,4.37102158096507
"E24",3.72533701539446,3.6081662622418
"F18",0.203848444976994,0.243144725742842
"F19",NA,3.72032926136897
"F20",0,0
"F21",4.5729872051493,NA
"F22",1.53283465749672,1.54396063076671
"F23",3.63842220281272,3.63865115758267
"F24",2.76136353679211,2.77015770279654
